"DATES"	"MOMENT"	"TQR"	"RPE"	"DURATION"	"SLEEP"	"PERSON_ID"	"ID"	"TQR_OF_RPE"
03-SEP-12	"A"			0	0	1	2225	
03-SEP-12	"O"	11	9	70	9	1	2226	
04-SEP-12	"A"	14	13	150	1	1	2227	
04-SEP-12	"O"	10	8	45	9	1	2228	
05-SEP-12	"A"	13	11	60	2	1	2229	
05-SEP-12	"O"	13	8	45	9	1	2230	
06-SEP-12	"A"	13	11	95	1	1	2231	
06-SEP-12	"O"	15	7	25	9	1	2232	
07-SEP-12	"A"			0	0	1	2233	
07-SEP-12	"O"	11	10	40	8	1	2234	
08-SEP-12	"A"			0	0	1	2235	
08-SEP-12	"O"	11	17	180	9	1	2236	
09-SEP-12	"A"	9	14	87	1	1	2237	
09-SEP-12	"O"	12	7	15	8	1	2238	
10-SEP-12	"A"	9	8	44	1	1	2239	
10-SEP-12	"O"	10	9	60	9	1	2240	
11-SEP-12	"A"	13	15	120	2	1	2241	
11-SEP-12	"O"	12	6	35	9	1	2242	
12-SEP-12	"A"			0	0	1	2243	
12-SEP-12	"O"	14	12	90	9	1	2244	
13-SEP-12	"A"	14	16	120	0	1	2245	
13-SEP-12	"O"	11	6	25	9	1	2246	
14-SEP-12	"A"			0	0	1	2247	
14-SEP-12	"O"	11	10	60	9	1	2248	
15-SEP-12	"A"			0	0	1	2249	
15-SEP-12	"O"	13	14	100	7	1	2250	
16-SEP-12	"A"			0	0	1	2251	
16-SEP-12	"O"	13	12	120	8	1	2252	
17-SEP-12	"A"			0	0	1	2253	
17-SEP-12	"O"	8	10	60	9	1	2254	
18-SEP-12	"A"			0	0	1	2255	
18-SEP-12	"O"	12	12	120	2	1	2256	
19-SEP-12	"A"			0	0	1	2257	
19-SEP-12	"O"	10	12	90	8	1	2258	
20-SEP-12	"A"			0	0	1	2259	
20-SEP-12	"O"	10	9	60	9	1	2260	
21-SEP-12	"A"			0	0	1	2261	
21-SEP-12	"O"	10	8	32	9	1	2262	
22-SEP-12	"A"			0	0	1	2263	
22-SEP-12	"O"			0	9	1	2264	
23-SEP-12	"A"			0	0	1	2265	
23-SEP-12	"O"	12	19	150	8	1	2266	
24-SEP-12	"A"			0	0	1	2267	
24-SEP-12	"O"	14	12	55	9	1	2268	
25-SEP-12	"A"	12	11	120	1	1	2269	
25-SEP-12	"O"			0	9	1	2270	
26-SEP-12	"A"			0	0	1	2271	
26-SEP-12	"O"	12	11	75	9	1	2272	
27-SEP-12	"A"			0	0	1	2273	
27-SEP-12	"O"	13	8	70	9	1	2274	
28-SEP-12	"A"			0	0	1	2275	
28-SEP-12	"O"	14	8	30	9	1	2276	
29-SEP-12	"A"			0	0	1	2277	
29-SEP-12	"O"			0	9	1	2278	
30-SEP-12	"A"			0	0	1	2279	
30-SEP-12	"O"	15	16	100	8	1	2280	
01-OCT-12	"A"			0	0	1	2281	
01-OCT-12	"O"	13	13	60	8	1	2282	
02-OCT-12	"A"	11	13	120	1	1	2283	
02-OCT-12	"O"			0	9	1	2284	
03-OCT-12	"A"	15	13	80	1	1	2285	
03-OCT-12	"O"	10	8	60	9	1	2286	
04-OCT-12	"A"	16	17	60	1	1	2287	
04-OCT-12	"O"			0	9	1	2288	
05-OCT-12	"A"			0	0	1	2289	
05-OCT-12	"O"			0	9	1	2290	
06-OCT-12	"A"			0	0	1	2291	
06-OCT-12	"O"	11	14	150	9	1	2292	
07-OCT-12	"A"			0	0	1	2293	
07-OCT-12	"O"	12	13	115	8	1	2294	
08-OCT-12	"A"			0	0	1	2295	
08-OCT-12	"O"	10	8	60	9	1	2296	
09-OCT-12	"A"	10	14	120	1	1	2297	
09-OCT-12	"O"	10	7	45	9	1	2298	
10-OCT-12	"A"			0	0	1	2299	
10-OCT-12	"O"	11	10	90	9	1	2300	
11-OCT-12	"A"			0	0	1	2301	
11-OCT-12	"O"	12	9	60	8	1	2302	
12-OCT-12	"A"			0	0	1	2303	
12-OCT-12	"O"			0	8	1	2304	
13-OCT-12	"A"			0	0	1	2305	
13-OCT-12	"O"	11	12	71	8	1	2306	
14-OCT-12	"A"			0	0	1	2307	
14-OCT-12	"O"	10	9	55	9	1	2308	
15-OCT-12	"A"			0	0	1	2309	
15-OCT-12	"O"	10	9	66	9	1	2310	
16-OCT-12	"A"	14	16	101	1	1	2311	
16-OCT-12	"O"			0	9	1	2312	
17-OCT-12	"A"			0	0	1	2313	
17-OCT-12	"O"	15	9	90	9	1	2314	
18-OCT-12	"A"			0	0	1	2315	
18-OCT-12	"O"	14	10	80	1	1	2316	
19-OCT-12	"A"			0	0	1	2317	
19-OCT-12	"O"	16	8	75	9	1	2318	
20-OCT-12	"A"			0	0	1	2319	
20-OCT-12	"O"	13	16	120	9	1	2320	
21-OCT-12	"A"			0	0	1	2321	
21-OCT-12	"O"	17	9	55	7	1	2322	
22-OCT-12	"A"	13	9	78	2	1	2323	
22-OCT-12	"O"	16	8	38	9	1	2324	
23-OCT-12	"A"	14	14	120	2	1	2325	
23-OCT-12	"O"	15	7	39	9	1	2326	
24-OCT-12	"A"			0	0	1	2327	
24-OCT-12	"O"	13	11	90	9	1	2328	
25-OCT-12	"A"	13	15	120	9	1	2329	
25-OCT-12	"O"	16	8	25	9	1	2330	
26-OCT-12	"A"	14	10	90	2	1	2331	
26-OCT-12	"O"			0	9	1	2332	
27-OCT-12	"A"	13	15	120	1	1	2333	
27-OCT-12	"O"	16	9	50	9	1	2334	
28-OCT-12	"A"	14	8	35	1	1	2335	
28-OCT-12	"O"	12	12	120	9	1	2336	
29-OCT-12	"A"	14	12	75	1	1	2337	
29-OCT-12	"O"	12	9	45	9	1	2338	
30-OCT-12	"A"	13	14	120	1	1	2339	
30-OCT-12	"O"			0	9	1	2340	
31-OCT-12	"A"	12	14	90	2	1	2341	
31-OCT-12	"O"	15	7	45	9	1	2342	
01-NOV-12	"A"	15	14	120	9	1	2343	
01-NOV-12	"O"			0	9	1	2344	
02-NOV-12	"A"	15	10	75	9	1	2345	
02-NOV-12	"O"	15	13	0	1	1	2346	
03-NOV-12	"A"			0	0	1	2347	
03-NOV-12	"O"	16	8	60	9	1	2348	
04-NOV-12	"A"			0	0	1	2349	
04-NOV-12	"O"	14	15	200	8	1	2350	
05-NOV-12	"A"	10	8	35	1	1	2351	
05-NOV-12	"O"			0	9	1	2352	
06-NOV-12	"A"	14	14	120	9	1	2353	
06-NOV-12	"O"			0	9	1	2354	
07-NOV-12	"A"			0	0	1	2355	
07-NOV-12	"O"	16	10	70	9	1	2356	
08-NOV-12	"A"	17	13	100	2	1	2357	
08-NOV-12	"O"			0	9	1	2358	
09-NOV-12	"A"	16	10	60	9	1	2359	
09-NOV-12	"O"			0	9	1	2360	
10-NOV-12	"A"	12	11	65	1	1	2361	
10-NOV-12	"O"	14	15	150	7	1	2362	
11-NOV-12	"A"			0	0	1	2363	
11-NOV-12	"O"	11	15	120	8	1	2364	
12-NOV-12	"A"			0	0	1	2365	
12-NOV-12	"O"	13	9	60	9	1	2366	
13-NOV-12	"A"	15	14	120	1	1	2367	
13-NOV-12	"O"			0	9	1	2368	
14-NOV-12	"A"			0	0	1	2369	
14-NOV-12	"O"	16	9	60	9	1	2370	
15-NOV-12	"A"	15	12	50	9	1	2371	
15-NOV-12	"O"			0	1	1	2372	
16-NOV-12	"A"			0	0	1	2373	
16-NOV-12	"O"			0	9	1	2374	
17-NOV-12	"A"			0	0	1	2375	
17-NOV-12	"O"	17	8	25	9	1	2376	
18-NOV-12	"A"			0	0	1	2377	
18-NOV-12	"O"	13	18	120	8	1	2378	
19-NOV-12	"A"			0	0	1	2379	
19-NOV-12	"O"	13	9	60	9	1	2380	
20-NOV-12	"A"	13	15	120	1	1	2381	
20-NOV-12	"O"			0	10	1	2382	
21-NOV-12	"A"	11	12	60	1	1	2383	
21-NOV-12	"O"	12	10	45	9	1	2384	
22-NOV-12	"A"	17	15	120	1	1	2385	
22-NOV-12	"O"	15	9	45	9	1	2386	
23-NOV-12	"A"	16	11	60	1	1	2387	
23-NOV-12	"O"	18	12	60	9	1	2388	
24-NOV-12	"A"			0	0	1	2389	
24-NOV-12	"O"	17	15	120	9	1	2390	
25-NOV-12	"A"			0	0	1	2391	
25-NOV-12	"O"	17	15	120	9	1	2392	
26-NOV-12	"A"	15	10	90	1	1	2393	
26-NOV-12	"O"	16	8	25	9	1	2394	
27-NOV-12	"A"	14	16	120	9	1	2395	
27-NOV-12	"O"	17	8	35	9	1	2396	
28-NOV-12	"A"	12	14	120	1	1	2397	
28-NOV-12	"O"	14	11	60	10	1	2398	
29-NOV-12	"A"	13	17	140	1	1	2399	
29-NOV-12	"O"	14	9	45	8	1	2400	
30-NOV-12	"A"	15	12	75	1	1	2401	
30-NOV-12	"O"	14	11	60	9	1	2402	
01-DEC-12	"A"			0	0	1	2403	
01-DEC-12	"O"	13	16	150	9	1	2404	
02-DEC-12	"A"			0	0	1	2405	
02-DEC-12	"O"	14	14	135	9	1	2406	
03-DEC-12	"A"			0	0	1	2407	
03-DEC-12	"O"	13	11	61	9	1	2408	
04-DEC-12	"A"	15	14	120	1	1	2409	
04-DEC-12	"O"			0	9	1	2410	
05-DEC-12	"A"			0	1	1	2411	
05-DEC-12	"O"	16	10	60	9	1	2412	
06-DEC-12	"A"			0	1	1	2413	
06-DEC-12	"O"	16	14	98	9	1	2414	
07-DEC-12	"A"			0	0	1	2415	
07-DEC-12	"O"	17	10	60	9	1	2416	
08-DEC-12	"A"			0	0	1	2417	
08-DEC-12	"O"	17	11	75	8	1	2418	
09-DEC-12	"A"			0	0	1	2419	
09-DEC-12	"O"	15	14	135	7	1	2420	
10-DEC-12	"A"	15	11	60	1	1	2421	
10-DEC-12	"O"	15	11	45	9	1	2422	
11-DEC-12	"A"	15	12	60	1	1	2423	
11-DEC-12	"O"	16	11	60	9	1	2424	
12-DEC-12	"A"	15	10	45	1	1	2425	
12-DEC-12	"O"	16	10	45	9	1	2426	
13-DEC-12	"A"	16	10	45	1	1	2427	
13-DEC-12	"O"	15	10	35	8	1	2428	
14-DEC-12	"A"			0	0	1	2429	
14-DEC-12	"O"	17	10	42	9	1	2430	
15-DEC-12	"A"	15	10	40	1	1	2431	
15-DEC-12	"O"	16	10	50	9	1	2432	
16-DEC-12	"A"	18	9	40	1	1	2433	
16-DEC-12	"O"			0	9	1	2434	
17-DEC-12	"A"			0	0	1	2435	
17-DEC-12	"O"	16	11	60	8	1	2436	
18-DEC-12	"A"	15	12	65	1	1	2437	
18-DEC-12	"O"	16	11	40	9	1	2438	
19-DEC-12	"A"	14	11	60	8	1	2439	
19-DEC-12	"O"	15	10	45	9	1	2440	
20-DEC-12	"A"	15	9	60	1	1	2441	
20-DEC-12	"O"	14	10	40	9	1	2442	
21-DEC-12	"A"	14	9	60	1	1	2443	
21-DEC-12	"O"	15	8	45	9	1	2444	
22-DEC-12	"A"			0	0	1	2445	
22-DEC-12	"O"	14	11	60	9	1	2446	
23-DEC-12	"A"			0	0	1	2447	
23-DEC-12	"O"	15	10	115	9	1	2448	
24-DEC-12	"A"	14	9	45	1	1	2449	
24-DEC-12	"O"	15	9	45	9	1	2450	
25-DEC-12	"A"	15	11	60	9	1	2451	
25-DEC-12	"O"	14	10	40	9	1	2452	
26-DEC-12	"A"	15	9	60	1	1	2453	
26-DEC-12	"O"	15	8	40	9	1	2454	
27-DEC-12	"A"			0	0	1	2455	
27-DEC-12	"O"	13	8	60	9	1	2456	
28-DEC-12	"A"	15	10	60	1	1	2457	
28-DEC-12	"O"	16	9	60	9	1	2458	
29-DEC-12	"A"	14	7	35	1	1	2459	
29-DEC-12	"O"	13	8	75	9	1	2460	
30-DEC-12	"A"			0	0	1	2461	
30-DEC-12	"O"	12	14	115	9	1	2462	
31-DEC-12	"A"			0	0	1	2463	
31-DEC-12	"O"	15	11	25	9	1	2464	
01-JAN-13	"A"	15	10	51	1	1	2465	
01-JAN-13	"O"	17	9	78	9	1	2466	
02-JAN-13	"A"	17	11	63	1	1	2467	
02-JAN-13	"O"	17	8	40	9	1	2468	
03-JAN-13	"A"	15	9	25	1	1	2469	
03-JAN-13	"O"	15	8	75	9	1	2470	
04-JAN-13	"A"	17	10	60	0	1	2471	
04-JAN-13	"O"	14	8	40	9	1	2472	
05-JAN-13	"A"	14	7	25	1	1	2473	
